a.;autor
cin.;cinema
círc.;círculo
cirurg.;cirurgia
clim.;climatologia
clín.;clínica
cód.;código
cols.;colunas
com.;comandante
comb.;combustível
combust.;combustível
comerc.;comércio
c.q.d.;como queria demonstrar
comp.;comparativo
compl.;complemento
compr.;comprimento
compt.;computadores eletrônicos
comte;comandante
comunic.;comunicação
conhec.;conhecimento
cons.;conselheiro
const.;constituição
contab.;contabilidade
contemp.;contemporâneo
contr.;contra, em oposição
corr.;correção
créd.;crédito
cresc.;crescendo, crescendo, em crescendo
cruz.;cruzamento
cult.;cultura
cx.;caixa
d.c.;depois de Cristo
dag;decagrama
dal;decalitro
dam;decâmetro
dec.;decreto
decl.;declinação
declin.;declinação
decor.;decoração
decr.;decreto
decresc.;decrescendo
def.;definido
defin.;definição
definit.;definitivo
dem.;demonstrativo
democ.;democrático
democr.;democracia
demonstr.;demonstrativo
dens.;densidade
dep.;departamento
depto.;departamento
dpto.;departamento
deps.;departamentos
der.;derivação
deriv.;derivação
desc.;desconto
desen.;desenho
desp.;despesa
det.;detalhe
determ.;determinativo
dg;decigrama
dic.;dicionário
diet.;dietético
dif.;diferente
dim.;diminutivo
dipl.;diploma
disc.;discurso
docs.;documentos
docum.;documentação
dól.;dólar
dom.;doméstico
dur.;dureza
ecol.;ecologia
ed.;edição
edif.;edifício
educ.;educação
elem.;elemento
eletr.;eletricidade
embal.;embalagem
energ.;energia
eng.;engenharia
ens.;ensino
escol.;escola
escr.;escritor
esp.;especial
espec.;especial
esport.;esporte
esq.;esquerdo(a)
estud.;estudante
et al.;et alibi, e em outro lugar
et seq.;et sequens, e o seguinte
euf.;eufemismo
ex.;exemplo
excl.;exclamação
expl.;explosivo
expr.;expressão
ext.;extensão
fáb.;fábrica
fac.;faculdade
falc.;falcoaria
fam.;familiar
farm.;farmácia
fed.;federal
fem.;feminino
fenôm.;fenômeno
fev.;fevereiro
ff.;folhas
fg.;figura
fig.;figura
filos.;filosofia
fin.;final
fís.;física
flex.;flexivo
floric.;floricultura
fls.;folhas
fluv.;fluvial
fol.;folha
folc.;folclore
fórm.;fórmula
form.;formulário
fot.;fotografia
foto.;fotografia
freq.;frequência
fut.;futebol
futb.;futebol
gav.;gaveta
gal.;general
gên.;ênero
genét.;genética
geog.;geografia
ger.;geral
ginást.;ginástica
ginec.;ginecologia
gír.;gíria
gov.;governador
gr.;grau
gráf.;gráfico
gram.;gramática
grav.;gravura
grd.;grande
hab.;habitante
hidrául.;hidráulica
hidrod.;hidrodinâmica
hidrog.;hidrografia
hidrol.;hidrologia
hidrom.;hidrometria
hidrost.;hidrostática
hig.;higiene
hipót.;hipótese
hist.;história
homôn.;homônimo
id.;idem
idol.;idolo
igr.;igreja
imit.;imitação
imperf.;imperfeito
import.;importação
impres.;imprensa
ind.;indeterminado
indúst.;indústria
inf.;inferior
infin.;infinitivo
inform.;informação
ing.;inglês
ins.;insular
inscr.;inscrição
inst.;instituição
internac.;internacional
jap.;japonês
jard.;jardinagem
jog.;jogo
jorn.;jornal
lab.;laboratório
laborat.;laboratório
lâm.;lâmina
lanç.;lançamento
larg.;largura
lat.;latitude
latit.;latitude
legisl.;legislação
leit.;leitura
lig.;ligação
líng.;Língua
líq.;líquido
lit.;literatura
liv.;livro
log.;logaritmo
lóg.;lógica
magnit.;magnitude
maiúsc.;maiúscula
maj.;major
mal.;marechal
máq.;máquina
mar.;março
marg.;marginal
masc.;masculino
mat.;matemática
máx.;máximo
med.;medicina
méd.;médico
memo.;memorando
mens.;mensal
mer.;meridiano
merc.;mercado
merid.;meridiano
met.;meteorologia
metáf.;metáfora
meteor.;meteorologia
min;minuto
mín.;mínimo
minúsc.;minúsculo
mov.;movimento
mun.;município
mús.;música
nac.;nacional
náut.;náutica
nav.;navegação
neg.;negativo
notic.;noticiário
nov.;novembro
num.;numeral
núm.;número
nutr.;nutrição
O.K.;correto
obr.;obrigado
obs.;observação
ocean.;oceano
ocid.;ocidente
odont.;odontologia
oftalm.;oftalmologia
ord.;ordem
org.;organização
orig.;origem
out.;outubro
pág.;página
pal.;palavra
paral.;paralelo
pass.;passado
paulist.;paulistano
pç.;peça
pça.;peça
Pe.;Padre
peq.;pequeno
pesc.;pescaria
pesq.;pesquisa
pess.;pessoa
pg.;pago
pgto.;pagamento
pint.;pintura
pl.;plural
planej.;planejamento
PM;Polícia
poes.;poesia
pol.;polegada
políc.;polícia
popul.;população
pp.;páginas
pq;porque
Pr.;Pastor
pr.;próprio
pref.;prefeito
presid.;presidente
pret.;pretérito
princ.;principal
probl.;problema
problem.;problemático
prof.;professor
profis.;profissão
propag.;propaganda
prot.;protocolo
prox.;próximo
pt;ponto
pub.;publicação
public.;publicação
qtde.;quantidade
quant.;quantidade
quart.;quarteirão
quest.;questionário
quím.;química
radioat.;radioatividade
real.;realidade
realid.;realidade
refl.;reflexo
reg.;região
rel.;relativo
relat.;relatório
relig.;religião
report.;reportagem
res.;residência
rest.;restrito
result.;resultado
rg.;registro
rib.;ribeirão
rod.;rodovia
Sarg.;Sargento
séc.;século
secr.;secretaria
seg;segundo
seg.;segundo
sel.;seleção
sem.;semana
sep.;separado
set.;setembro
sg.;singular
sist.;sistema
sit.;situado
soc.;sociedade
sub.;subúrbio
superf.;superfície
tab.;tabela
tb;também
tc;teclar
teatr.;teatro
téc.;técnica
tec.;tecnologia
técn.;técnica
tecnol.;tecnologia
tel.;telefone
temp.;temperatura
temper.;temperatura
ten.;tenente
térm.;térmico
territ.;território
tít.;título
ton.;tonelada
trab.;trabalho
trad.;tradução
tradic.;tradicional
tráf.;tráfego
trat.;tratamento
trav.;travessa
trib.;tribunal
trim.;trimestre
tv.;televisão
un.;unidade
univ.;universidade
urb.;urbano
usual.;usualmente
var.;variação
vb.;verbo
vc;você
veg.;vegetal
vel.;velocidade
veloc.;velocidade
verb.;verbo
vol.;volume
vulc.;vulcânico
zoo.;zoológico
vo6;vocês
tbm;também
td bm;tudo bem
bm;bem 
ksa;casa 
kbça;cabeça 
lol;louco
rs;risos
kkkk;risos 
ahahaha;risos 
flw;falou 
wlw;valeu 
fcd;fica com deus 
fds;final de semana 
obg;obrigado
tks;obrigado
brink’s;brincadeira 
xau;tchau 
bj;beijo
bjs;beijos 
bjo;beijo
bjos;beijos
fik;fica 
qnts;quantos 
to;estou
gnt;gente 
blz;beleza 
bb;bebê
jto;jeito 
p/;para 
wpp;whatsapp
zap;whatsapp
mt;muito 
loko;louco 
cmg;comigo 
ñ;não 
n;não
s;sim 
ptgs;português 
ctg;contigo 
pfv;por favor 
dnd;de nada 
plmds;pelo amor de Deus 
mds;meu Deus
omg;oh my God
lgl;legal
lgc;lógico
amr;amor
m.a;melhor amigo(a)
q;que
blz;beleza
sdds;saudades
vdd;verdade
bjs;beijos
msg;mensagem
msm;mesmo
const.;construção
cx;caixa
pg;pago
amg;amigo
ex.;exemplo
cmg;comigo
td;tudo
flw;falou
dms;demais
obg;obrigado
rlx;relaxa
vlw;valeu
hj;hoje
hr;hora
dps;depois
mds;meu Deus
bm;bem
cel;celular
tendi;entendi
pv;privado
sla;sei lá
qnd;quando
act;aceito
qr;quer
smp;sempre
cm;como
ult;último
nd;nada
agr;agora
ft;foto
pft;perfeito
mó;muito
perae;espera
qm;quem
qqr;qualquer
qt;quanto
